,year,NAICS,lwage,wage,lwage.total,tech,employment
1,2002,113300,10.4374065851733,34112.0708727934,21.5749692858518,0.006385696040868,68704
2,2002,115100,9.92632266646856,20461.9566212131,22.420907040191,0.001726370306431,266888
3,2002,115200,10.2544942671264,28409.9372786919,20.4010064265699,0.030061892130858,25502
4,2002,211100,11.6092790783362,110114.837594059,23.3138491715612,0.191784812584968,121124
5,2002,212100,11.0769620895516,64664.140847263,22.2835118396228,0.024795934082859,73611
6,2002,212200,11.1318273740779,68311.08793777,21.3910994742676,0.097974564295808,28546
7,2002,212300,10.8445235983524,51252.7010154474,22.4289321649444,0.024087666701127,107410
8,2002,213100,11.0109789523476,60535.1188427778,23.0851645668351,0.045649732443681,175288
9,2002,221100,11.3337355092855,83594.7091412135,24.3055248032097,0.149595333193189,430107
10,2002,221200,11.2851565823042,79630.8279216078,22.9304602752601,0.07202718006795,114154
11,2002,221300,10.7215190277277,45320.6939716994,21.4982227825644,0.042317266349853,47892
12,2002,236100,10.7023760505648,44461.3721922293,24.299383523577,0.00784958696221,803721
13,2002,236200,10.9280006063313,55714.772507771,24.4695531513036,0.030450686355231,760364
14,2002,237100,10.8215289289796,50087.6088921062,23.6709701025066,0.013772218564845,380576
15,2002,237200,11.0410697452543,62384.3514744389,22.4044041196533,0.012873390826147,86106
16,2002,237300,10.8664750580187,52390.2119502743,23.605599486073,0.016678553793822,340825
17,2002,237900,10.8743517671841,52804.5038995429,22.545929194563,0.048301342705236,117193
18,2002,238100,10.5490161383395,38139.895465462,24.2775342282263,0.00301530104894,916684
19,2002,238200,10.7995087509816,48996.7256299597,25.2192259802091,0.014253735519615,1829800
20,2002,238300,10.5577054157546,38472.7476258324,24.2337170967389,0.00104573592163,869794
21,2002,238900,10.6349591657739,41562.7314362607,23.9031357051557,0.003392897534494,578490
22,2002,311100,10.8095229589037,49489.8540521145,21.6465319385756,0.026465028355388,50869
23,2002,311200,10.9926855428502,59437.7926449657,22.0297663529497,0.043679800320913,62136
24,2002,311300,10.6610150088163,42659.9153963852,22.0269358665199,0.022399090392268,86329
25,2002,311400,10.5700819342915,38951.8650872138,22.7274946571704,0.017222820236814,190501
26,2002,311500,10.7923313419418,48646.3151125984,22.6162573775596,0.029172162308946,136479
27,2002,311600,10.3552654803755,31422.0602318815,23.5124282729221,0.006308377932887,517706
28,2002,311700,10.4198034908079,33516.8471301084,21.1010780409671,0,43533
29,2002,311800,10.4578189158219,34815.5329676004,23.0516678065891,0.006654356687454,294740
